Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Binaria; 2066; 23494; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 10619; 1.556000; 0; 1.556000
Ordenado; -1; 10619; 0.008000; 429792.523000; 429792.531000
Jump; -1; 10619; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 10619; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 22027; 1.573000; 0; 1.573000
Ordenado; -1; 22027; 0.014000; 429792.523000; 429792.537000
Jump; -1; 22027; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 22027; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 20013; 1.568000; 0; 1.568000
Ordenado; -1; 20013; 0.013000; 429792.523000; 429792.536000
Jump; -1; 20013; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 20013; 0.002000; 429792.523000; 429792.525000
Sequencial; 239391; 422; 1.433000; 0; 1.433000
Ordenado; 39; 422; 0.002000; 429792.523000; 429792.525000
Jump; 39; 422; 0.001000; 429792.523000; 429792.524000
Binaria; 39; 422; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 25203; 1.562000; 0; 1.562000
Ordenado; -1; 25203; 0.016000; 429792.523000; 429792.539000
Jump; -1; 25203; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 25203; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 17502; 1.557000; 0; 1.557000
Ordenado; -1; 17502; 0.012000; 429792.523000; 429792.535000
Jump; -1; 17502; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 17502; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 28497; 1.566000; 0; 1.566000
Ordenado; -1; 28497; 0.019000; 429792.523000; 429792.542000
Jump; -1; 28497; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 28497; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 18245; 1.556000; 0; 1.556000
Ordenado; -1; 18245; 0.013000; 429792.523000; 429792.536000
Jump; -1; 18245; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 18245; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 24011; 1.561000; 0; 1.561000
Ordenado; -1; 24011; 0.016000; 429792.523000; 429792.539000
Jump; -1; 24011; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 24011; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 453; 1.557000; 0; 1.557000
Ordenado; -1; 453; 0.002000; 429792.523000; 429792.525000
Jump; -1; 453; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 453; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 8493; 1.552000; 0; 1.552000
Ordenado; -1; 8493; 0.007000; 429792.523000; 429792.530000
Jump; -1; 8493; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 8493; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 23302; 1.586000; 0; 1.586000
Ordenado; -1; 23302; 0.015000; 429792.523000; 429792.538000
Jump; -1; 23302; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 23302; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 14587; 1.549000; 0; 1.549000
Ordenado; -1; 14587; 0.010000; 429792.523000; 429792.533000
Jump; -1; 14587; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 14587; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 26942; 1.557000; 0; 1.557000
Ordenado; -1; 26942; 0.017000; 429792.523000; 429792.540000
Jump; -1; 26942; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 26942; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 19472; 1.555000; 0; 1.555000
Ordenado; -1; 19472; 0.013000; 429792.523000; 429792.536000
Jump; -1; 19472; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 19472; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 9763; 1.567000; 0; 1.567000
Ordenado; -1; 9763; 0.007000; 429792.523000; 429792.530000
Jump; -1; 9763; 0.002000; 429792.523000; 429792.525000
