Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Ordenado; 815; 1569; 0.007000; 105.096000; 105.103000
Jump; 815; 1569; 0.002000; 105.096000; 105.098000
Binaria; 815; 1569; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2566; 0.026000; 0; 0.026000
Ordenado; -1; 2566; 0.011000; 105.096000; 105.107000
Jump; -1; 2566; 0.003000; 105.096000; 105.099000
Binaria; -1; 2566; 0.001000; 105.096000; 105.097000
Sequencial; -1; 2769; 0.026000; 0; 0.026000
Ordenado; -1; 2769; 0.012000; 105.096000; 105.108000
Jump; -1; 2769; 0.002000; 105.096000; 105.098000
Binaria; -1; 2769; 0.002000; 105.096000; 105.098000
Sequencial; 2929; 1918; 0.019000; 0; 0.019000
Ordenado; 996; 1918; 0.009000; 105.096000; 105.105000
Jump; 996; 1918; 0.002000; 105.096000; 105.098000
Binaria; 996; 1918; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2740; 0.026000; 0; 0.026000
Ordenado; -1; 2740; 0.011000; 105.096000; 105.107000
Jump; -1; 2740; 0.002000; 105.096000; 105.098000
Binaria; -1; 2740; 0.001000; 105.096000; 105.097000
Sequencial; -1; 3021; 0.027000; 0; 0.027000
Ordenado; -1; 3021; 0.012000; 105.096000; 105.108000
Jump; -1; 3021; 0.002000; 105.096000; 105.098000
Binaria; -1; 3021; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2577; 0.026000; 0; 0.026000
Ordenado; -1; 2577; 0.010000; 105.096000; 105.106000
Jump; -1; 2577; 0.003000; 105.096000; 105.099000
Binaria; -1; 2577; 0.002000; 105.096000; 105.098000
Sequencial; -1; 94; 0.028000; 0; 0.028000
Ordenado; -1; 94; 0.002000; 105.096000; 105.098000
Jump; -1; 94; 0.003000; 105.096000; 105.099000
Binaria; -1; 94; 0.001000; 105.096000; 105.097000
Sequencial; -1; 565; 0.028000; 0; 0.028000
Ordenado; -1; 565; 0.004000; 105.096000; 105.100000
Jump; -1; 565; 0.002000; 105.096000; 105.098000
Binaria; -1; 565; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3672; 0.025000; 0; 0.025000
Ordenado; -1; 3672; 0.016000; 105.096000; 105.112000
Jump; -1; 3672; 0.002000; 105.096000; 105.098000
Binaria; -1; 3672; 0.002000; 105.096000; 105.098000
Sequencial; 229; 296; 0.002000; 0; 0.002000
Ordenado; 161; 296; 0.004000; 105.096000; 105.100000
Jump; 161; 296; 0.002000; 105.096000; 105.098000
Binaria; 161; 296; 0.001000; 105.096000; 105.097000
Sequencial; 3767; 3550; 0.024000; 0; 0.024000
Ordenado; 1832; 3550; 0.016000; 105.096000; 105.112000
Jump; 1832; 3550; 0.002000; 105.096000; 105.098000
Binaria; 1832; 3550; 0.001000; 105.096000; 105.097000
Sequencial; -1; 416; 0.027000; 0; 0.027000
Ordenado; -1; 416; 0.003000; 105.096000; 105.099000
Jump; -1; 416; 0.002000; 105.096000; 105.098000
Binaria; -1; 416; 0.002000; 105.096000; 105.098000
Sequencial; 4067; 2835; 0.027000; 0; 0.027000
Ordenado; 1450; 2835; 0.012000; 105.096000; 105.108000
Jump; 1450; 2835; 0.002000; 105.096000; 105.098000
Binaria; 1450; 2835; 0.002000; 105.096000; 105.098000
Sequencial; 665; 2768; 0.005000; 0; 0.005000
Ordenado; 1416; 2768; 0.011000; 105.096000; 105.107000
Jump; 1416; 2768; 0.002000; 105.096000; 105.098000
Binaria; 1416; 2768; 0.001000; 105.096000; 105.097000
Sequencial; -1; 2573; 0.028000; 0; 0.028000
Ordenado; -1; 2573; 0.011000; 105.096000; 105.107000
Jump; -1; 2573; 0.002000; 105.096000; 105.098000
Binaria; -1; 2573; 0.001000; 105.096000; 105.097000
Sequencial; -1; 2842; 0.028000; 0; 0.028000
Ordenado; -1; 2842; 0.011000; 105.096000; 105.107000
Jump; -1; 2842; 0.002000; 105.096000; 105.098000
Binaria; -1; 2842; 0.002000; 105.096000; 105.098000
Sequencial; -1; 824; 0.025000; 0; 0.025000
Ordenado; -1; 824; 0.004000; 105.096000; 105.100000
Jump; -1; 824; 0.001000; 105.096000; 105.097000
Binaria; -1; 824; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2982; 0.026000; 0; 0.026000
Ordenado; -1; 2982; 0.011000; 105.096000; 105.107000
Jump; -1; 2982; 0.002000; 105.096000; 105.098000
Binaria; -1; 2982; 0.002000; 105.096000; 105.098000
Sequencial; 218; 815; 0.003000; 0; 0.003000
Ordenado; 422; 815; 0.004000; 105.096000; 105.100000
Jump; 422; 815; 0.002000; 105.096000; 105.098000
Binaria; 422; 815; 0.001000; 105.096000; 105.097000
Sequencial; -1; 168; 0.026000; 0; 0.026000
Ordenado; -1; 168; 0.002000; 105.096000; 105.098000
Jump; -1; 168; 0.002000; 105.096000; 105.098000
Binaria; -1; 168; 0.001000; 105.096000; 105.097000
Sequencial; -1; 3081; 0.026000; 0; 0.026000
Ordenado; -1; 3081; 0.012000; 105.096000; 105.108000
Jump; -1; 3081; 0.002000; 105.096000; 105.098000
Binaria; -1; 3081; 0.002000; 105.096000; 105.098000
Sequencial; 2911; 2339; 0.018000; 0; 0.018000
Ordenado; 1218; 2339; 0.009000; 105.096000; 105.105000
Jump; 1218; 2339; 0.002000; 105.096000; 105.098000
Binaria; 1218; 2339; 0.002000; 105.096000; 105.098000
Sequencial; 824; 74; 0.006000; 0; 0.006000
Ordenado; 54; 74; 0.001000; 105.096000; 105.097000
Jump; 54; 74; 0.002000; 105.096000; 105.098000
Binaria; 54; 74; 0.001000; 105.096000; 105.097000
Sequencial; -1; 3881; 0.026000; 0; 0.026000
Ordenado; -1; 3881; 0.015000; 105.096000; 105.111000
Jump; -1; 3881; 0.002000; 105.096000; 105.098000
Binaria; -1; 3881; 0.002000; 105.096000; 105.098000
Sequencial; 79; 357; 0.002000; 0; 0.002000
Ordenado; 185; 357; 0.003000; 105.096000; 105.099000
Jump; 185; 357; 0.001000; 105.096000; 105.097000
Binaria; 185; 357; 0.002000; 105.096000; 105.098000
Sequencial; 17; 2298; 0.001000; 0; 0.001000
Ordenado; 1200; 2298; 0.010000; 105.096000; 105.106000
Jump; 1200; 2298; 0.002000; 105.096000; 105.098000
Binaria; 1200; 2298; 0.002000; 105.096000; 105.098000
Sequencial; 1067; 3177; 0.007000; 0; 0.007000
Ordenado; 1644; 3177; 0.013000; 105.096000; 105.109000
Jump; 1644; 3177; 0.002000; 105.096000; 105.098000
Binaria; 1644; 3177; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3038; 0.025000; 0; 0.025000
Ordenado; -1; 3038; 0.012000; 105.096000; 105.108000
Jump; -1; 3038; 0.002000; 105.096000; 105.098000
Binaria; -1; 3038; 0.001000; 105.096000; 105.097000
Sequencial; -1; 2155; 0.026000; 0; 0.026000
Ordenado; -1; 2155; 0.009000; 105.096000; 105.105000
Jump; -1; 2155; 0.002000; 105.096000; 105.098000
Binaria; -1; 2155; 0.002000; 105.096000; 105.098000
Sequencial; 1364; 2120; 0.009000; 0; 0.009000
Ordenado; 1100; 2120; 0.009000; 105.096000; 105.105000
Jump; 1100; 2120; 0.002000; 105.096000; 105.098000
Binaria; 1100; 2120; 0.001000; 105.096000; 105.097000
